,step,mnist-acc,mnistm-acc,domain-acc
426,4260.0,0.9375,0.5625,0.890625
427,4270.0,1.0,0.6875,0.84375
428,4280.0,1.0,0.65625,0.8125
429,4290.0,0.96875,0.6875,0.78125
430,4300.0,0.96875,0.71875,0.875
431,4310.0,0.96875,0.59375,0.859375
432,4320.0,1.0,0.6875,0.8125
433,4330.0,1.0,0.65625,0.890625
434,4340.0,1.0,0.65625,0.953125
435,4350.0,1.0,0.75,0.859375
436,4360.0,0.96875,0.8125,0.859375
437,4370.0,0.96875,0.5625,0.828125
438,4380.0,1.0,0.65625,0.84375
439,4390.0,1.0,0.59375,0.859375
440,4400.0,0.96875,0.71875,0.859375
441,4410.0,0.96875,0.65625,0.84375
442,4420.0,1.0,0.6875,0.828125
443,4430.0,1.0,0.75,0.84375
444,4440.0,1.0,0.6875,0.921875
445,4450.0,1.0,0.625,0.890625
446,4460.0,1.0,0.5625,0.859375
447,4470.0,1.0,0.8125,0.8125
448,4480.0,1.0,0.875,0.859375
449,4490.0,1.0,0.71875,0.859375
450,4500.0,0.9375,0.6875,0.765625
451,4510.0,1.0,0.59375,0.890625
452,4520.0,1.0,0.75,0.75
453,4530.0,1.0,0.6875,0.8125
454,4540.0,1.0,0.5625,0.890625
455,4550.0,0.96875,0.78125,0.75
456,4560.0,0.96875,0.625,0.90625
457,4570.0,1.0,0.8125,0.84375
458,4580.0,0.96875,0.59375,0.71875
459,4590.0,0.96875,0.59375,0.875
460,4600.0,0.96875,0.59375,0.796875
461,4610.0,0.96875,0.90625,0.875
462,4620.0,0.96875,0.6875,0.890625
463,4630.0,0.9375,0.65625,0.84375
464,4640.0,1.0,0.53125,0.859375
465,4650.0,1.0,0.59375,0.875
466,4660.0,0.96875,0.75,0.78125
467,4670.0,0.96875,0.65625,0.828125
468,4680.0,0.96875,0.625,0.796875
469,4690.0,0.96875,0.8125,0.859375
470,4700.0,1.0,0.71875,0.796875
471,4710.0,1.0,0.71875,0.921875
472,4720.0,1.0,0.8125,0.8125
473,4730.0,1.0,0.8125,0.859375
474,4740.0,0.9375,0.65625,0.8125
475,4750.0,1.0,0.84375,0.859375
476,4760.0,0.96875,0.625,0.796875
477,4770.0,0.96875,0.625,0.9375
478,4780.0,1.0,0.5625,0.828125
479,4790.0,0.9375,0.5625,0.875
480,4800.0,0.96875,0.71875,0.921875
481,4810.0,1.0,0.71875,0.890625
482,4820.0,1.0,0.71875,0.828125
483,4830.0,1.0,0.6875,0.796875
484,4840.0,1.0,0.75,0.84375
485,4850.0,0.96875,0.65625,0.828125
486,4860.0,0.96875,0.8125,0.921875
487,4870.0,1.0,0.6875,0.828125
488,4880.0,1.0,0.59375,0.859375
489,4890.0,1.0,0.59375,0.84375
490,4900.0,1.0,0.71875,0.8125
491,4910.0,1.0,0.625,0.90625
492,4920.0,1.0,0.6875,0.859375
493,4930.0,0.96875,0.625,0.8125
494,4940.0,0.9375,0.6875,0.828125
495,4950.0,1.0,0.65625,0.796875
496,4960.0,0.96875,0.71875,0.828125
497,4970.0,1.0,0.625,0.84375
498,4980.0,0.96875,0.78125,0.75
499,4990.0,1.0,0.6875,0.765625
500,5000.0,0.96875,0.84375,0.71875
501,5010.0,0.9375,0.71875,0.8125
502,5020.0,0.96875,0.5625,0.75
503,5030.0,0.96875,0.59375,0.75
504,5040.0,1.0,0.6875,0.84375
505,5050.0,1.0,0.53125,0.84375
506,5060.0,0.96875,0.75,0.828125
507,5070.0,1.0,0.71875,0.796875
508,5080.0,1.0,0.65625,0.8125
509,5090.0,0.96875,0.625,0.75
510,5100.0,1.0,0.59375,0.796875
511,5110.0,1.0,0.75,0.78125
512,5120.0,1.0,0.625,0.78125
513,5130.0,1.0,0.6875,0.78125
514,5140.0,1.0,0.875,0.796875
515,5150.0,1.0,0.6875,0.71875
516,5160.0,1.0,0.8125,0.75
517,5170.0,0.96875,0.71875,0.765625
518,5180.0,1.0,0.6875,0.75
519,5190.0,0.96875,0.8125,0.71875
520,5200.0,1.0,0.78125,0.78125
521,5210.0,0.96875,0.875,0.828125
522,5220.0,1.0,0.625,0.796875
523,5230.0,0.96875,0.59375,0.78125
524,5240.0,1.0,0.6875,0.796875
525,5250.0,1.0,0.5,0.796875
526,5260.0,0.96875,0.65625,0.75
527,5270.0,0.96875,0.71875,0.671875
528,5280.0,1.0,0.625,0.75
529,5290.0,1.0,0.78125,0.78125
530,5300.0,1.0,0.78125,0.828125
531,5310.0,1.0,0.6875,0.6875
532,5320.0,1.0,0.8125,0.71875
533,5330.0,0.9375,0.78125,0.765625
534,5340.0,1.0,0.65625,0.859375
535,5350.0,1.0,0.6875,0.6875
536,5360.0,1.0,0.65625,0.734375
537,5370.0,1.0,0.75,0.84375
538,5380.0,0.96875,0.59375,0.6875
539,5390.0,0.96875,0.65625,0.796875
540,5400.0,1.0,0.78125,0.53125
541,5410.0,1.0,0.65625,0.734375
542,5420.0,1.0,0.625,0.734375
543,5430.0,1.0,0.59375,0.78125
544,5440.0,1.0,0.78125,0.71875
545,5450.0,1.0,0.75,0.671875
546,5460.0,1.0,0.75,0.78125
547,5470.0,0.96875,0.65625,0.8125
548,5480.0,1.0,0.8125,0.703125
549,5490.0,0.96875,0.6875,0.828125
550,5500.0,0.96875,0.59375,0.765625
551,5510.0,0.96875,0.6875,0.734375
552,5520.0,1.0,0.65625,0.65625
553,5530.0,0.90625,0.71875,0.71875
554,5540.0,1.0,0.6875,0.671875
555,5550.0,1.0,0.71875,0.6875
556,5560.0,1.0,0.6875,0.640625
557,5570.0,0.96875,0.84375,0.75
558,5580.0,1.0,0.625,0.796875
559,5590.0,0.9375,0.71875,0.796875
560,5600.0,1.0,0.75,0.703125
561,5610.0,1.0,0.75,0.625
562,5620.0,1.0,0.71875,0.671875
563,5630.0,0.96875,0.65625,0.71875
564,5640.0,1.0,0.59375,0.65625
565,5650.0,1.0,0.78125,0.703125
566,5660.0,1.0,0.78125,0.71875
567,5670.0,1.0,0.65625,0.671875
568,5680.0,1.0,0.75,0.65625
569,5690.0,1.0,0.59375,0.765625
570,5700.0,1.0,0.6875,0.765625
571,5710.0,1.0,0.625,0.734375
572,5720.0,0.96875,0.75,0.75
573,5730.0,1.0,0.625,0.734375
574,5740.0,0.9375,0.65625,0.765625
575,5750.0,1.0,0.75,0.671875
576,5760.0,1.0,0.6875,0.640625
577,5770.0,0.96875,0.6875,0.765625
578,5780.0,1.0,0.59375,0.6875
579,5790.0,1.0,0.65625,0.6875
580,5800.0,0.9375,0.6875,0.8125
581,5810.0,1.0,0.6875,0.734375
582,5820.0,0.96875,0.65625,0.875
583,5830.0,0.96875,0.8125,0.640625
584,5840.0,0.96875,0.625,0.671875
585,5850.0,1.0,0.75,0.65625
586,5860.0,0.96875,0.6875,0.671875
587,5870.0,0.96875,0.875,0.59375
588,5880.0,1.0,0.71875,0.671875
589,5890.0,0.96875,0.625,0.734375
590,5900.0,1.0,0.65625,0.734375
591,5910.0,1.0,0.6875,0.71875
592,5920.0,0.96875,0.84375,0.734375
593,5930.0,0.96875,0.90625,0.703125
594,5940.0,0.96875,0.8125,0.703125
595,5950.0,0.96875,0.78125,0.71875
596,5960.0,1.0,0.8125,0.734375
597,5970.0,1.0,0.875,0.6875
598,5980.0,0.96875,0.6875,0.796875
599,5990.0,1.0,0.90625,0.75
600,6000.0,1.0,0.71875,0.75
601,6010.0,0.9375,0.65625,0.640625
602,6020.0,1.0,0.65625,0.765625
603,6030.0,0.96875,0.84375,0.609375
604,6040.0,1.0,0.65625,0.703125
605,6050.0,1.0,0.5625,0.71875
606,6060.0,0.96875,0.75,0.734375
607,6070.0,1.0,0.71875,0.703125
608,6080.0,1.0,0.78125,0.65625
609,6090.0,1.0,0.75,0.609375
610,6100.0,1.0,0.71875,0.734375
611,6110.0,1.0,0.5,0.65625
612,6120.0,1.0,0.8125,0.578125
613,6130.0,1.0,0.53125,0.828125
614,6140.0,1.0,0.78125,0.796875
615,6150.0,0.96875,0.78125,0.75
616,6160.0,0.9375,0.71875,0.671875
617,6170.0,0.96875,0.71875,0.75
618,6180.0,1.0,0.625,0.71875
619,6190.0,1.0,0.71875,0.71875
620,6200.0,0.96875,0.78125,0.71875
621,6210.0,1.0,0.6875,0.765625
622,6220.0,1.0,0.75,0.734375
623,6230.0,1.0,0.6875,0.734375
624,6240.0,1.0,0.75,0.75
625,6250.0,1.0,0.75,0.6875
626,6260.0,1.0,0.75,0.71875
627,6270.0,1.0,0.71875,0.703125
628,6280.0,1.0,0.75,0.65625
629,6290.0,1.0,0.6875,0.640625
630,6300.0,0.96875,0.625,0.78125
631,6310.0,1.0,0.78125,0.8125
632,6320.0,1.0,0.78125,0.75
633,6330.0,1.0,0.78125,0.765625
634,6340.0,1.0,0.53125,0.6875
