,step,mnist-acc,mnistm-acc,domain-acc
578,5780.0,1.0,0.53125,0.90625
579,5790.0,0.96875,0.53125,0.90625
580,5800.0,0.96875,0.6875,0.875
581,5810.0,1.0,0.5625,0.890625
582,5820.0,1.0,0.46875,0.953125
583,5830.0,1.0,0.59375,0.875
584,5840.0,1.0,0.5625,0.859375
585,5850.0,0.96875,0.59375,0.796875
586,5860.0,1.0,0.6875,0.8125
587,5870.0,0.9375,0.625,0.828125
588,5880.0,0.96875,0.53125,0.921875
589,5890.0,0.96875,0.6875,0.90625
590,5900.0,0.96875,0.6875,0.875
591,5910.0,0.96875,0.78125,0.875
592,5920.0,0.9375,0.625,0.890625
593,5930.0,0.90625,0.53125,0.890625
594,5940.0,0.96875,0.59375,0.875
595,5950.0,0.96875,0.5,0.90625
596,5960.0,1.0,0.53125,0.953125
597,5970.0,0.96875,0.46875,0.90625
598,5980.0,0.96875,0.65625,0.90625
599,5990.0,0.9375,0.59375,0.859375
600,6000.0,0.9375,0.59375,0.765625
601,6010.0,1.0,0.65625,0.84375
602,6020.0,0.9375,0.46875,0.921875
603,6030.0,1.0,0.71875,0.859375
604,6040.0,0.9375,0.59375,0.890625
605,6050.0,1.0,0.65625,0.921875
606,6060.0,0.96875,0.53125,0.953125
607,6070.0,1.0,0.5625,0.875
608,6080.0,1.0,0.625,0.859375
609,6090.0,1.0,0.53125,0.890625
610,6100.0,1.0,0.5,0.859375
611,6110.0,0.96875,0.65625,0.90625
612,6120.0,0.96875,0.6875,0.859375
613,6130.0,1.0,0.5,0.875
614,6140.0,1.0,0.5625,0.859375
615,6150.0,1.0,0.59375,0.875
616,6160.0,1.0,0.78125,0.921875
617,6170.0,0.9375,0.59375,0.8125
618,6180.0,0.90625,0.65625,0.875
619,6190.0,0.96875,0.65625,0.765625
620,6200.0,1.0,0.6875,0.84375
621,6210.0,1.0,0.53125,0.875
622,6220.0,1.0,0.53125,0.875
623,6230.0,1.0,0.59375,0.84375
624,6240.0,0.90625,0.625,0.859375
625,6250.0,1.0,0.5625,0.90625
626,6260.0,1.0,0.8125,0.890625
627,6270.0,0.96875,0.4375,0.890625
628,6280.0,1.0,0.5625,0.921875
629,6290.0,1.0,0.65625,0.859375
630,6300.0,0.9375,0.78125,0.84375
631,6310.0,1.0,0.65625,0.875
632,6320.0,0.96875,0.4375,0.9375
633,6330.0,0.9375,0.5625,0.90625
634,6340.0,0.96875,0.6875,0.90625
635,6350.0,0.96875,0.5625,0.90625
636,6360.0,1.0,0.6875,0.859375
637,6370.0,0.9375,0.78125,0.796875
638,6380.0,0.96875,0.59375,0.859375
639,6390.0,0.96875,0.53125,0.875
640,6400.0,1.0,0.65625,0.890625
641,6410.0,1.0,0.65625,0.828125
642,6420.0,1.0,0.59375,0.78125
643,6430.0,0.96875,0.5625,0.78125
644,6440.0,1.0,0.53125,0.84375
645,6450.0,0.96875,0.53125,0.90625
646,6460.0,0.90625,0.6875,0.890625
647,6470.0,0.96875,0.53125,0.90625
648,6480.0,1.0,0.59375,0.921875
649,6490.0,1.0,0.65625,0.921875
650,6500.0,0.96875,0.625,0.890625
651,6510.0,1.0,0.71875,0.859375
652,6520.0,0.96875,0.625,0.890625
653,6530.0,0.96875,0.53125,0.828125
654,6540.0,1.0,0.75,0.8125
